symbol,date,open,high,low,close
LTIM,2025-10-31,5125.5,5752.0,5121.5,5684.5
LTIM,2025-11-30,5684.5,6124.0,5508.5,6096.5
LTIM,2025-12-31,6122.0,6380.0,6091.5,6296.5
MPHASIS,2022-12-31,2068.6,2080.4,1805.0,1880.2
MPHASIS,2023-01-31,1892.2,2047.8,1840.9,1992.5
MPHASIS,2023-02-28,1992.9,2191.2,1919.4,1984.5
MPHASIS,2023-03-31,1990.2,2058.8,1574.7,1706.6
MPHASIS,2023-04-30,1722.6,1757.6,1573.6,1725.0
MPHASIS,2023-05-31,1734.3,1939.1,1717.3,1924.2
MPHASIS,2023-06-30,1931.4,1946.1,1718.3,1804.0
MPHASIS,2023-07-31,1825.5,2250.0,1759.8,2165.4
MPHASIS,2023-08-31,2167.2,2388.3,2123.6,2331.6
MPHASIS,2023-09-30,2333.5,2448.1,2242.5,2276.1
MPHASIS,2023-10-31,2276.1,2442.1,1974.6,2113.0
MPHASIS,2023-11-30,2122.6,2293.2,2048.2,2274.7
MPHASIS,2023-12-31,2279.5,2679.9,2226.1,2632.2
MPHASIS,2024-01-31,2632.4,2666.7,2378.1,2456.1
MPHASIS,2024-02-29,2455.9,2728.1,2369.6,2551.3
MPHASIS,2024-03-31,2551.0,2551.0,2206.9,2287.3
MPHASIS,2024-04-30,2300.0,2430.4,2111.3,2193.1
MPHASIS,2024-05-31,2206.9,2378.8,2098.1,2185.4
MPHASIS,2024-06-30,2267.7,2453.5,2090.2,2354.5
MPHASIS,2024-07-31,2378.5,3020.6,2355.7,2720.9
MPHASIS,2024-08-31,2622.6,3091.2,2538.6,3044.1
MPHASIS,2024-09-30,3044.1,3125.3,2781.0,2790.8
MPHASIS,2024-10-31,2842.2,3083.1,2785.5,2837.5
MPHASIS,2024-11-30,2843.1,2988.1,2697.2,2916.3
MPHASIS,2024-12-31,2916.7,3174.5,2757.4,2813.0
MPHASIS,2025-01-31,2902.2,3018.1,2682.9,2743.7
MPHASIS,2025-02-28,2735.3,2840.0,2183.4,2203.2
MPHASIS,2025-03-31,2215.7,2521.9,2127.7,2451.2
MPHASIS,2025-04-30,2354.9,2521.2,2004.5,2412.5
MPHASIS,2025-05-31,2421.5,2591.3,2265.8,2508.7
MPHASIS,2025-06-30,2413.3,2874.6,2339.9,2866.9
MPHASIS,2025-07-31,2892.2,2911.0,2604.0,2757.4
MPHASIS,2025-08-31,2674.7,2967.6,2640.0,2788.0
MPHASIS,2025-09-30,2808.0,3037.2,2630.0,2736.9
MPHASIS,2025-10-31,2736.9,2961.2,2687.7,2764.4
MPHASIS,2025-11-30,2764.4,2859.0,2626.8,2811.4
MPHASIS,2025-12-31,2822.0,2968.9,2809.9,2946.5
OFSS,2022-12-31,2904.5,2907.0,2652.0,2697.0
OFSS,2023-01-31,2684.0,2862.0,2659.0,2794.0
OFSS,2023-02-28,2794.0,2946.5,2773.0,2822.5
OFSS,2023-03-31,2847.5,2988.0,2820.0,2930.0
OFSS,2023-04-30,2994.0,3247.0,2892.5,3218.5
OFSS,2023-05-31,3279.5,3374.5,3078.5,3269.0
OFSS,2023-06-30,3304.0,3617.0,3177.5,3506.5
OFSS,2023-07-31,3534.5,3690.0,3388.5,3530.0
OFSS,2023-08-31,3517.0,3805.0,3507.5,3775.0
OFSS,2023-09-30,3802.0,4155.0,3700.5,3750.5
OFSS,2023-10-31,3759.5,3898.5,3516.0,3579.0
OFSS,2023-11-30,3612.0,3889.0,3575.5,3685.0
OFSS,2023-12-31,3716.0,4028.5,3612.0,3849.5
OFSS,2024-01-31,3934.0,6718.0,3914.5,6127.5
OFSS,2024-02-29,6149.0,7702.5,6131.0,7286.0
OFSS,2024-03-31,7303.0,8385.0,7134.0,8269.0
OFSS,2024-04-30,8293.0,8510.0,6657.5,7306.5
OFSS,2024-05-31,7393.0,7736.0,7139.0,7223.5
OFSS,2024-06-30,7292.0,9738.0,6804.5,9575.5
OFSS,2024-07-31,9597.5,11088.0,9583.0,10067.0
OFSS,2024-08-31,9603.0,10956.0,9306.5,10647.5
OFSS,2024-09-30,10536.5,12227.0,10320.5,10611.0
OFSS,2024-10-31,10707.0,11513.0,10105.0,10486.0
OFSS,2024-11-30,10487.0,11765.0,10392.0,11333.0
OFSS,2024-12-31,11331.5,12809.5,11308.5,12129.0
OFSS,2025-01-31,12057.5,12170.0,7955.0,8617.0
OFSS,2025-02-28,8563.5,9219.5,7310.5,7522.5
OFSS,2025-03-31,7559.5,7898.0,6910.5,7607.0
OFSS,2025-04-30,7469.5,8623.0,6819.5,8423.5
OFSS,2025-05-31,8526.5,8745.0,7933.5,8462.5
OFSS,2025-06-30,8449.0,9775.0,8267.0,9109.0
OFSS,2025-07-31,9099.5,9099.5,8340.0,8378.5
OFSS,2025-08-31,8355.5,8932.0,8274.0,8293.5
OFSS,2025-09-30,8331.0,9950.0,8141.5,8962.0
OFSS,2025-10-31,8939.0,9382.0,8500.0,8515.0
OFSS,2025-11-30,8459.0,8514.5,8036.0,8107.0
OFSS,2025-12-31,8149.5,8279.0,8042.5,8210.0
PERSISTENT,2022-12-31,2155.15,2163.95,1892.0,1935.45
PERSISTENT,2023-01-31,1944.5,2444.0,1920.0,2425.5
PERSISTENT,2023-02-28,2422.5,2567.5,2347.9,2433.1
PERSISTENT,2023-03-31,2450.0,2475.0,2150.05,2304.75
PERSISTENT,2023-04-30,2315.0,2384.9,1981.0,2368.6
PERSISTENT,2023-05-31,2378.5,2639.5,2308.5,2613.25
PERSISTENT,2023-06-30,2634.0,2638.0,2385.5,2505.5
PERSISTENT,2023-07-31,2527.5,2578.8,2317.2,2392.9
PERSISTENT,2023-08-31,2400.0,2786.45,2379.0,2771.65
PERSISTENT,2023-09-30,2784.0,3017.5,2775.6,2898.35
PERSISTENT,2023-10-31,2887.4,3159.0,2788.4,3143.1
PERSISTENT,2023-11-30,3152.5,3312.3,3063.8,3216.65
PERSISTENT,2023-12-31,3250.5,3780.0,3135.4,3694.7
PERSISTENT,2024-01-31,3712.5,4415.0,3580.2,4251.3
PERSISTENT,2024-02-29,4262.5,4450.0,4150.0,4287.9
PERSISTENT,2024-03-31,4287.5,4299.0,3931.0,3984.55
PERSISTENT,2024-04-30,4069.9,4085.05,3316.0,3366.85
PERSISTENT,2024-05-31,3371.0,3796.95,3254.0,3410.5
PERSISTENT,2024-06-30,3510.5,4285.0,3232.05,4241.45
PERSISTENT,2024-07-31,4245.0,4964.8,4227.2,4636.35
PERSISTENT,2024-08-31,4444.0,5264.95,4409.1,5170.85
PERSISTENT,2024-09-30,5214.5,5585.95,5078.5,5141.3
PERSISTENT,2024-10-31,5141.3,5798.7,5106.2,5389.0
PERSISTENT,2024-11-30,5387.0,6042.0,5298.0,5905.65
PERSISTENT,2024-12-31,5905.65,6788.9,5853.65,6405.95
PERSISTENT,2025-01-31,6405.95,6501.0,5445.0,5933.55
PERSISTENT,2025-02-28,5830.0,6303.95,5149.2,5303.9
PERSISTENT,2025-03-31,5303.9,5700.45,4989.95,5513.75
PERSISTENT,2025-04-30,5494.0,5509.65,4148.95,5425.5
PERSISTENT,2025-05-31,5490.0,5955.0,5310.5,5638.0
PERSISTENT,2025-06-30,5632.0,6180.0,5449.0,5896.0
PERSISTENT,2025-07-31,5885.0,5950.0,5040.0,5061.5
PERSISTENT,2025-08-31,5055.0,5509.5,5008.5,5305.5
PERSISTENT,2025-09-30,5335.5,5690.0,4785.0,5068.8
PERSISTENT,2025-10-31,5094.0,5977.0,5090.0,5916.6
PERSISTENT,2025-11-30,5920.0,6478.0,5699.0,6353.0
PERSISTENT,2025-12-31,6375.5,6531.5,6295.0,6519.0
TCS,2022-12-31,3433.0,3439.15,3163.65,3256.7
TCS,2023-01-31,3261.0,3504.0,3200.0,3482.3
TCS,2023-02-28,3473.15,3575.0,3299.9,3342.15
TCS,2023-03-31,3361.9,3404.95,3095.05,3205.9
TCS,2023-04-30,3224.95,3272.95,3070.25,3219.25
TCS,2023-05-31,3235.0,3372.0,3173.15,3305.6
TCS,2023-06-30,3315.0,3327.0,3156.0,3302.25
TCS,2023-07-31,3314.3,3549.9,3250.1,3443.55
TCS,2023-08-31,3453.95,3489.95,3343.65,3379.2
TCS,2023-09-30,3378.0,3633.75,3370.05,3528.6
TCS,2023-10-31,3534.2,3679.0,3311.0,3350.9
TCS,2023-11-30,3375.0,3544.0,3322.35,3511.65
TCS,2023-12-31,3544.65,3929.0,3498.0,3793.4
TCS,2024-01-31,3790.0,3984.4,3651.0,3966.3
TCS,2024-02-29,3983.0,4184.75,3962.1,4107.1
TCS,2024-03-31,4105.0,4254.75,3829.4,3876.3
TCS,2024-04-30,3897.7,4064.2,3778.05,3843.4
TCS,2024-05-31,3853.0,3988.0,3653.75,3670.95
TCS,2024-06-30,3732.8,3960.0,3591.5,3904.15
TCS,2024-07-31,3884.0,4431.0,3884.0,4283.05
TCS,2024-08-31,4239.0,4592.25,4110.5,4553.75
TCS,2024-09-30,4576.0,4588.0,4210.0,4252.25
TCS,2024-10-31,4273.9,4297.25,3960.0,3984.2
TCS,2024-11-30,3966.3,4377.4,3913.25,4270.85
TCS,2024-12-31,4270.0,4494.9,4032.05,4099.9
TCS,2025-01-31,4105.5,4322.95,4011.55,4073.15
TCS,2025-02-28,4030.9,4150.0,3457.0,3483.25
TCS,2025-03-31,3485.0,3710.0,3462.75,3606.15
TCS,2025-04-30,3572.7,3584.0,3056.05,3444.7
TCS,2025-05-31,3450.0,3630.5,3398.1,3463.4
TCS,2025-06-30,3450.0,3538.0,3358.7,3419.8
TCS,2025-07-31,3418.3,3426.1,3000.0,3003.0
TCS,2025-08-31,3009.1,3162.0,2991.6,3084.7
TCS,2025-09-30,3090.0,3203.0,2866.6,2901.9
TCS,2025-10-31,2902.0,3098.0,2895.6,3058.0
TCS,2025-11-30,3046.9,3180.0,2960.5,3137.5
TCS,2025-12-31,3137.9,3271.6,3120.4,3241.0
TECHM,2022-12-31,1072.4,1072.4,947.7,970.7
TECHM,2023-01-31,972.1,1030.5,939.8,965.7
TECHM,2023-02-28,960.5,1108.6,951.6,1038.2
TECHM,2023-03-31,1044.9,1116.3,994.9,1054.6
TECHM,2023-04-30,1057.3,1069.5,935.9,977.8
TECHM,2023-05-31,974.6,1091.3,974.6,1075.4
TECHM,2023-06-30,1076.4,1086.7,1013.6,1083.1
TECHM,2023-07-31,1088.1,1220.4,1035.4,1126.6
TECHM,2023-08-31,1131.3,1200.4,1123.6,1178.5
TECHM,2023-09-30,1185.3,1268.8,1160.8,1173.4
TECHM,2023-10-31,1171.2,1189.2,1050.9,1085.3
TECHM,2023-11-30,1089.6,1184.9,1069.7,1171.2
TECHM,2023-12-31,1188.3,1281.6,1148.1,1222.3
TECHM,2024-01-31,1222.7,1363.4,1172.0,1286.6
TECHM,2024-02-29,1294.2,1310.5,1214.1,1222.2
TECHM,2024-03-31,1225.2,1256.7,1186.4,1198.2
TECHM,2024-04-30,1202.1,1295.3,1114.6,1200.5
TECHM,2024-05-31,1207.9,1293.4,1174.6,1178.9
TECHM,2024-06-30,1205.0,1399.4,1144.7,1377.2
TECHM,2024-07-31,1377.2,1540.8,1371.1,1480.6
TECHM,2024-08-31,1443.6,1635.1,1401.1,1607.1
TECHM,2024-09-30,1607.1,1642.0,1539.7,1587.4
TECHM,2024-10-31,1595.8,1730.2,1566.9,1574.9
TECHM,2024-11-30,1585.0,1736.1,1579.2,1681.6
TECHM,2024-12-31,1679.3,1775.3,1650.0,1659.1
TECHM,2025-01-31,1674.2,1705.2,1592.2,1616.9
TECHM,2025-02-28,1600.8,1681.7,1451.9,1461.2
TECHM,2025-03-31,1473.1,1523.0,1357.3,1392.8
TECHM,2025-04-30,1376.8,1491.7,1187.7,1469.5
TECHM,2025-05-31,1472.1,1607.0,1451.6,1545.7
TECHM,2025-06-30,1536.9,1701.7,1506.4,1655.2
TECHM,2025-07-31,1647.9,1647.9,1432.4,1438.8
TECHM,2025-08-31,1435.0,1539.7,1419.1,1481.4
TECHM,2025-09-30,1485.0,1566.9,1391.9,1400.6
TECHM,2025-10-31,1404.9,1487.5,1397.1,1424.4
TECHM,2025-11-30,1419.1,1532.0,1383.6,1517.3
TECHM,2025-12-31,1515.3,1583.0,1509.7,1569.0
WIPRO,2022-12-31,202.55,203.45,184.5,192.55
WIPRO,2023-01-31,192.65,202.5,187.0,200.0
WIPRO,2023-02-28,198.75,202.55,188.95,191.4
WIPRO,2023-03-31,192.4,194.45,174.05,179.05
WIPRO,2023-04-30,180.4,190.2,172.55,188.75
WIPRO,2023-05-31,190.7,200.9,185.8,198.55
WIPRO,2023-06-30,200.45,200.9,184.9,190.8
WIPRO,2023-07-31,193.1,208.35,190.1,200.4
WIPRO,2023-08-31,201.0,207.0,199.25,204.15
WIPRO,2023-09-30,204.95,217.6,196.85,199.05
WIPRO,2023-10-31,199.25,207.85,183.85,188.05
WIPRO,2023-11-30,189.25,203.2,184.85,199.85
WIPRO,2023-12-31,202.35,234.05,197.15,231.05
WIPRO,2024-01-31,231.9,259.35,219.0,236.9
WIPRO,2024-02-29,236.8,267.65,234.95,256.3
WIPRO,2024-03-31,256.4,258.05,231.0,235.35
WIPRO,2024-04-30,237.15,241.2,214.25,224.25
WIPRO,2024-05-31,224.95,230.65,213.3,214.85
WIPRO,2024-06-30,220.7,253.1,204.45,252.4
WIPRO,2024-07-31,253.9,284.3,238.45,246.2
